Attenuation,Zero degree level(m),Rain height(km),R (mm/hr)
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,28.502426,0.388502426,0
0,113.37283,0.47337283,0
0,182.27219,0.54227219,0
0,221.5869,0.5815869,0
0,336.26514,0.69626514,0
0,384.417,0.744417,0
0,399.37744,0.75937744,0
0,127.150894,0.487150894,0
0,89.37195,0.44937195,0
0,53.618454,0.413618454,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,45.417816,0.405417816,0
0,732.66064,1.09266064,0
0,1168.97,1.52897,0
0,1398.7695,1.7587695,0
0,1148.0432,1.5080432,0
0,1523.9521,1.8839521,0
0,1694.2544,2.0542544,0
0,1712.4878,2.0724878,0
0,1714.0676,2.0740676,0
0,1550.312,1.910312,0
0,1417.1003,1.7771003,0
0,1284.9285,1.6449285,0
0.177028022,1273.1758,1.6331758,0.3
0.278513091,1168.6138,1.5286138,0.5
0.316756039,1084.301,1.444301,0.6
0.365430779,1064.7583,1.4247583,0.7
0.145591278,982.3369,1.3423369,0.3
0.142947838,957.8933,1.3178933,0.3
0.094814087,960.3694,1.3203694,0.2
0.086553634,845.0781,1.2050781,0.2
0.201037589,742.0293,1.1020293,0.5
0.293791382,638.6365,0.9986365,0.8
0.344340996,572.8718,0.9328718,1
0.294936401,529.0657,0.8890657,0.9
0.191179086,510.011,0.870011,0.6
0.094112102,506.69507,0.86669507,0.3
0,471.92578,0.83192578,0
0,457.96606,0.81796606,0
0,467.3518,0.8273518,0
0,511.10034,0.87110034,0
0,626.71606,0.98671606,0
0,596.3916,0.9563916,0
0,642.50806,1.00250806,0
0,540.33325,0.90033325,0
0,623.5242,0.9835242,0
0,659.23364,1.01923364,0
0,643.18994,1.00318994,0
0,579.26245,0.93926245,0
0,556.70386,0.91670386,0
0,509.26733,0.86926733,0
0,501.68872,0.86168872,0
0,538.3557,0.8983557,0
0,609.80005,0.96980005,0
0,730.80176,1.09080176,0
0,834.7051,1.1947051,0
0,868.2178,1.2282178,0
0,867.657,1.227657,0
0,871.72217,1.23172217,0
0,939.6853,1.2996853,0
0.049110364,1024.9387,1.3849387,0.1
0.101637738,1055.6345,1.4156345,0.2
0.152715112,1048.22,1.40822,0.3
