timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Specific attenuation,Attenuation
20130107T0400,4.3102455,0,7,0,57,0,0
20130107T0500,4.2202454,0,38,0,63,0,0
20130107T0600,3.8802452,0,71,0,55,0,0
20130107T0700,3.8802452,0,86,0,67,0,0
20130107T0800,4.0802455,0,91,0,64,0,0
20130107T0900,4.0402455,0,83,0,89,0,0
20130107T1000,3.9402456,0,53,14,100,0,0
20130107T1100,4.5502453,0,41,0,100,0,0
20130107T1200,4.980245,0,31,4,100,0,0
20130107T1300,5.3502455,0,11,0,99,0,0
20130107T1400,5.6802454,0,3,0,97,0,0
20130107T1500,5.5602455,0,0,0,67,0,0
20130107T1600,6.5502453,0,17,0,44,0,0
20130107T1700,6.3702455,0,40,0,35,0,0
20130107T1800,4.4502454,0,31,1,17,0,0
20130107T1900,3.3602452,0,64,3,14,0,0
20130107T2000,2.8402452,0,84,2,28,0,0
20130107T2100,3.0102453,0,75,8,30,0,0
20130107T2200,3.8302455,0,37,44,76,0,0
20130107T2300,3.5702453,0,14,26,78,0,0
20130108T0000,3.4102454,0,4,23,76,0,0
20130108T0100,3.1002455,0,4,30,79,0,0
20130108T0200,2.9402456,0,17,44,62,0,0
20130108T0300,2.6202455,0,8,7,62,0,0
20130108T0400,2.1502454,0,2,27,40,0,0
20130108T0500,1.7502455,0,1,29,39,0,0
20130108T0600,1.4302454,0,0,4,27,0,0
20130108T0700,1.7202454,0,0,0,26,0,0
20130108T0800,1.6902454,0,0,0,22,0,0
20130108T0900,2.0202456,0,0,0,15,0,0
20130108T1000,3.0402455,0,0,2,9,0,0
20130108T1100,3.5802455,0,0,5,10,0,0
20130108T1200,4.0702453,0,0,0,9,0,0
20130108T1300,4.7802453,0,7,0,10,0,0
20130108T1400,5.1202455,0,3,0,4,0,0
20130108T1500,4.2302456,0,0,0,4,0,0
20130108T1600,4.6202455,0,1,0,4,0,0
20130108T1700,3.4602456,0,5,3,3,0,0
20130108T1800,2.4102454,0,4,0,5,0,0
20130108T1900,1.3702455,0,27,0,3,0,0
20130108T2000,1.1802454,0,47,0,7,0,0
20130108T2100,1.1502454,0,67,0,6,0,0
20130108T2200,-0.09975457,0,17,0,8,0,0
20130108T2300,-0.3197546,0,16,0,11,0,0
20130109T0000,-0.3797546,0,36,0,9,0,0
20130109T0100,-0.63975465,0,55,0,10,0,0
20130109T0200,-0.90975463,0,72,0,8,0,0
20130109T0300,-1.0097545,0,93,0,7,0,0
20130109T0400,-1.1197546,0,98,0,13,0,0
20130109T0500,-0.7197546,0,98,0,15,0,0
20130109T0600,-0.76975465,0,96,0,16,0,0
20130109T0700,-0.9497546,0,98,0,21,0,0
20130109T0800,-0.48975456,0,97,0,20,0,0
20130109T0900,0.050245404,0,99,0,17,0,0
20130109T1000,0.4202454,0,98,0,18,0,0
