Location0,Location1,Location2
0.07997589,0.058811948,0.06948547
0.09363221,0.09391831,0.1283307
0.17875946,0.14467514,0.16741836
0.17416328,0.15142769,0.18435615
0.15243232,0.13439643,0.17124832
0.13378596,0.112347364,0.1364448
0.108249426,0.110048056,0.116523504
0.15038127,0.11861247,0.098875225
0.1765155,0.1516742,0.108087465
0.20371704,0.17405395,0.12735443
0.17551376,0.167789,0.13356735
0.12980926,0.12980735,0.13715637
0.104402006,0.102172315,0.11542648
0.014870945,0.021951023,0.040993992
0.011847761,0.024755742,0.031750944
0.036291808,0.04080841,0.044367522
0.037795827,0.028061673,0.033144757
0.043595884,0.024859998,0.031425092
0.057814483,0.026568297,0.043208007
0.07479088,0.038629454,0.05386726
0.056666717,0.044919357,0.05805908
0.058282163,0.059165265,0.06947258
0.06499061,0.076036066,0.09110412
0.064799115,0.07608871,0.094696805
0.05098808,0.06673324,0.08275688
0.019622419,0.013763044,0.01848564
0.015261687,0.016421355,0.018584289
0.009837341,0.016429137,0.017846297
0.006916466,0.013081016,0.014250221
0.004563026,0.011733703,0.007736854
0.016906567,0.01870615,0.014475174
0.017920054,0.02350334,0.014892616
0.011850663,0.017649002,0.010237046
0.010046501,0.016423244,0.008893985
0.009550743,0.014616661,0.008752517
0.010593642,0.012912978,0.008263815
0.01573753,0.01573753,0.011806484
0.002982979,0.003989105,0.005085831
0.007512204,0.008854978,0.008823507
0.00900669,0.013124656,0.009540748
0.00230442,0.002609596,0.001963005
0.001481953,0.001604023,0.001069489
0.003327598,0.003754844,0.001879921
0.01110837,0.011047334,0.005732508
0.020717792,0.020258598,0.013303451
0.02526003,0.025107441,0.022180138
0.026961688,0.028426532,0.02485359
0.025521237,0.032432992,0.023267705
0.024931831,0.035093233,0.019387169
0.018678967,0.028657261,0.019680325
0.027563017,0.04279129,0.030162733
0.040296018,0.058663785,0.040173948
0.043703344,0.055634763,0.03714111
0.056189384,0.06757054,0.050165977
0.0892942,0.07870651,0.100471266
0.10798149,0.09545593,0.08588867
0.12655747,0.11093246,0.07356178
0.12932289,0.11571205,0.06550872
0.12165177,0.107949376,0.059144136
0.10687424,0.093095556,0.05084778
0.10552704,0.086152196,0.050488587
0.084890746,0.098026656,0.044569395
0.055060424,0.08392624,0.031264342
0.105277866,0.072366565,0.021285858
0.059494857,0.030749205,0.019284133
0.023152314,0.035328828,0.028000794
0.07224365,0.104161225,0.0837793
0.12930828,0.18164212,0.16315228
0.15301466,0.21645308,0.22796202
0.17195368,0.23285913,0.27841043
0.19420958,0.25615263,0.28581953
0.16962433,0.23280334,0.2499237
0.1373688,0.17691576,0.19274104
0.095256045,0.09687348,0.06590958
0.08780464,0.09924873,0.07919677
0.07750236,0.08711349,0.08275329
0.054282263,0.04201515,0.046041563
0.07740967,0.04692642,0.03211872
0.08570999,0.06726402,0.03997749
0.05804138,0.06837158,0.0603569
0.022426642,0.04837898,0.06734375
0.006980057,0.022542113,0.040576097
0.004108658,0.002676239,0.002475967
0.006649933,0.002743683,0.002513847
0.007919883,0.003220177,0.005517578
0.004272614,0.002840195,0.003000412
0.018564451,0.008157957,0.005869139
0.052052915,0.026206434,0.017148435
0.07377578,0.048066635,0.03483059
0.056440696,0.04716526,0.045041427
0.029348277,0.016882323,0.020003699
0.01651344,0.005803201,0.004977796
0.003929377,0.002952814,0.002429247
0.000925321,0.00046875,0.000927706
0.017160473,0.003610668,0.002356109
0.0439114,0.02395481,0.010004463
0.059787482,0.033911437,0.019030305
0.08567634,0.09391609,0.08189407
0.05092003,0.062058944,0.058419723
0.038130227,0.026047172,0.037307207
0.025527246,0.01918102,0.028920896
0.005979118,0.010464248,0.015757142
0.00291748,0.001269531,0.004306746
0.003935642,0.003325291,0.009089299
0.002212009,0.003249607,0.011303625
0.001069393,0.00198492,0.007756319
0.004582472,0.002018995,0.00397212
0.013957519,0.003186006,0.003420372
0.04013153,0.01794716,0.017214738
0.030962333,0.041454658,0.032211646
0.025649298,0.015395392,0.014711607
0.048923645,0.019905243,0.021764908
0.04972183,0.026911847,0.041329496
0.0328994,0.038011093,0.09047653
0.028933637,0.038697354,0.12967408
0.023599088,0.0340361,0.12647957
0.022368848,0.030318677,0.107308805
0.021012496,0.027816009,0.09054108
0.015619047,0.02225662,0.075271375
0.0085392,0.013710976,0.048252106
0.006840839,0.005803241,0.020253792
0.003413105,0.001643085,0.004272485
0.003547316,0.006262188,0.004492168
0.003872108,0.006740761,0.005299044
0.003417959,0.005981436,0.004726519
0.004680219,0.003886762,0.003054204
