timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130107T1500,5.5602455,0,0,0,67,0.06346894715
20130107T1600,6.5502453,0,17,0,44,0.04065849515
20130107T1700,6.3702455,0,40,0,35,0.03144031809
20130107T1800,4.4502454,0,31,1,17,0.0243190559
20130107T1900,3.3602452,0,64,3,14,0.01953606107
20130107T2000,2.8402452,0,84,2,28,0.02384341994
20130107T2100,3.0102453,0,75,8,30,0.03019712404
20130107T2200,3.8302455,0,37,44,76,0.062600077
20130107T2300,3.5702453,0,14,26,78,0.06679283204
20130108T0000,3.4102454,0,4,23,76,0.07322975101
20130108T0100,3.1002455,0,4,30,79,0.0859191567
20130108T0200,2.9402456,0,17,44,62,0.08474715373
20130108T0300,2.6202455,0,8,7,62,0.1019997554
20130108T0400,2.1502454,0,2,27,40,0.09180591228
20130108T0500,1.7502455,0,1,29,39,0.07780749597
20130108T0600,1.4302454,0,0,4,27,0.06259896814
20130108T0700,1.7202454,0,0,0,26,0.05200985272
20130108T0800,1.6902454,0,0,0,22,0.0409802757
20130108T0900,2.0202456,0,0,0,15,0.02951976883
20130108T1000,3.0402455,0,0,2,9,0.02345272951
20130108T1100,3.5802455,0,0,5,10,0.02153592951
20130108T1200,4.0702453,0,0,0,9,0.01952873044
20130108T1300,4.7802453,0,7,0,10,0.01691930292
20130108T1400,5.1202455,0,3,0,4,0.01461250456
20130108T1500,4.2302456,0,0,0,4,0.01368072764
20130108T1600,4.6202455,0,1,0,4,0.01362825945
20130108T1700,3.4602456,0,5,3,3,0.01371175642
20130108T1800,2.4102454,0,4,0,5,0.01348548004
20130108T1900,1.3702455,0,27,0,3,0.01249653298
20130108T2000,1.1802454,0,47,0,7,0.01261337114
20130108T2100,1.1502454,0,67,0,6,0.01278741262
20130108T2200,-0.09975457,0,17,0,8,0.2025503982
20130108T2300,-0.3197546,0,16,0,11,0.1407359384
20130109T0000,-0.3797546,0,36,0,9,0.1695025752
20130109T0100,-0.63975465,0,55,0,10,0.1401099162
20130109T0200,-0.90975463,0,72,0,8,0.09572335868
20130109T0300,-1.0097545,0,93,0,7,0.08262936266
20130109T0400,-1.1197546,0,98,0,13,0.0997580415
20130109T0500,-0.7197546,0,98,0,15,0.0548045002
20130109T0600,-0.76975465,0,96,0,16,0.05183622121
20130109T0700,-0.9497546,0,98,0,21,0.04764654581
