valid_time,tp,Specific Attenuation (dB),Attenuation
41292.29167,1.15192E-05,0.000989488,0.001412671
41292.33333,4.92047E-06,0.000415572,0.000593426
41292.375,1.43051E-06,0.000117885,0.000168367
41292.41667,1.90721E-06,0.00015807,0.000225753
41292.45833,0,0,0
41292.5,0,0,0
41292.54167,0,0,0
41292.58333,0,0,0
41292.625,0,0,0
41292.66667,0,0,0
41292.70833,0,0,0
41292.75,0,0,0
41292.79167,0,0,0
41292.83333,0,0,0
41292.875,0,0,0
41292.91667,6.96423E-11,4.71037E-09,6.72882E-09
41292.95833,8.01783E-07,6.53166E-05,9.32915E-05
41293,2.96635E-05,0.002596465,0.003705573
41293.04167,0.00015971,0.014455604,0.020603955
41293.08333,0.000364498,0.033537218,0.047745764
41293.125,0.000442506,0.040871956,0.058167453
41293.16667,0.000356286,0.032766767,0.046650729
41293.20833,0.000315179,0.028915642,0.041176173
41293.25,0.000336064,0.030871072,0.043956117
41293.29167,0.000399255,0.036801706,0.052384849
41293.33333,0.000288424,0.026414367,0.037619577
41293.375,0.000191459,0.017391858,0.02478372
41293.41667,9.44537E-05,0.008460271,0.012064972
41293.45833,4.14125E-05,0.003648999,0.010941737
41293.5,2.78139E-05,0.002431449,0.010281031
41293.54167,3.35724E-05,0.002945857,0.012856132
41293.58333,0.000115744,0.010409239,0.052089335
41293.625,0.000298363,0.027343026,0.147040921
41293.66667,0.000565995,0.05253466,0.303869076
41293.70833,0.000761512,0.071100562,0.448580206
41293.75,0.000780729,0.072930947,0.475081619
41293.79167,0.000951099,0.089195371,0.658591429
41293.83333,0.001037376,0.097454799,0.774160286
41293.875,0.001408548,0.13313154,1.060311273
41293.91667,0.001707458,0.162002577,1.28870707
41293.95833,0.001875188,0.178248586,1.443963302
41294,0.001366633,0.12909224,1.105687593
41294.04167,0.000840612,0.078640334,0.6902944
41294.08333,0.000440665,0.040698559,0.3587855
41294.125,0.000162659,0.014727816,0.130340239
41294.16667,9.51284E-05,0.00852191,0.076247566
41294.20833,6.55669E-05,0.005830376,0.055332993
41294.25,7.55206E-06,0.000643289,0.005959178
41294.29167,0,0,0
41294.33333,1.76757E-06,0.000146276,0.001359206
41294.375,6.29439E-06,0.000534221,0.004626542
41294.41667,9.19159E-05,0.008228496,0.066060208
41294.45833,0.000512377,0.047463802,0.371352851
41294.5,0.000901207,0.084425947,0.621190251
41294.54167,0.00133096,0.125656466,0.866409757
41294.58333,0.000443495,0.040965173,0.264116627
41294.625,0.000782615,0.073110625,0.469156285
41294.66667,0.000290983,0.026653413,0.165768584
41294.70833,0.000537708,0.049858233,0.276957403
41294.75,0.000865989,0.081062346,0.428498457
41294.79167,0.001024111,0.096183964,0.346288882
41294.83333,0.000661132,0.06155504,0.141594029
41294.875,0.000350202,0.032196151,0.055127404
41294.91667,0.000219315,0.019976127,0.028563859
41294.95833,0.00011348,0.010201626,0.014545837
41295,8.66068E-05,0.007744045,0.011044397
41295.04167,9.04603E-05,0.008095622,0.011545386
41295.08333,9.80523E-05,0.008789137,0.012533548
41295.125,8.28709E-05,0.007403499,0.0105591
41295.16667,4.98563E-05,0.004409253,0.006290908
41295.20833,3.13746E-05,0.002749304,0.003923591
41295.25,1.36558E-05,0.001176995,0.001680281
41295.29167,7.28537E-06,0.000620129,0.000885453
41295.33333,3.01319E-06,0.000252017,0.000359904
41295.375,1.90707E-06,0.000158059,0.000225736
41295.41667,9.53535E-07,7.79472E-05,0.00011133
41295.45833,3.35777E-06,0.000281443,0.000463989
41295.5,1.98025E-05,0.001719443,0.003380418
41295.54167,0.000107583,0.009661234,0.021921258
41295.58333,0.00023117,0.021077973,0.053873867
41295.625,0.000214642,0.019542065,0.052507926
41295.66667,0.000110617,0.009939172,0.028504431
41295.70833,3.25371E-05,0.002853238,0.008834155
41295.75,1.23209E-05,0.001059772,0.003521034
41295.79167,2.79979E-05,0.00244786,0.008105607
41295.83333,2.3726E-05,0.002067547,0.006876819
41295.875,2.56338E-05,0.002237233,0.007426233
41295.91667,2.24739E-05,0.001956319,0.006434264
41295.95833,6.02775E-05,0.005351067,0.016724816
41296,7.44689E-05,0.006638751,0.019367235
41296.04167,0.00014942,0.013506271,0.033526648
41296.08333,0.000141293,0.012757528,0.029760762
41296.125,0.000217509,0.019808374,0.040392613
41296.16667,0.000260193,0.023780173,0.046179461
41296.20833,0.000261757,0.023925916,0.044320828
41296.25,0.000271505,0.024835026,0.044061696
41296.29167,0.000202934,0.018455552,0.033047383
41296.33333,0.000133206,0.012013184,0.020702966
41296.375,9.56312E-05,0.008567849,0.014824447
41296.41667,4.84073E-05,0.004278598,0.007662541
41296.45833,1.87295E-05,0.001624474,0.003360751
41296.5,1.29497E-05,0.001114961,0.00266083
41296.54167,6.27441E-06,0.000532492,0.001440207
41296.58333,2.38384E-06,0.000198452,0.000575162
41296.625,0,0,0
41296.66667,0,0,0
41296.70833,4.76767E-07,3.84399E-05,0.00011127
41296.75,4.76767E-07,3.84399E-05,0.000111248
41296.79167,0,0,0
41296.83333,0,0,0
41296.875,0,0,0
41296.91667,0,0,0
41296.95833,0,0,0
41297,0,0,0
41297.04167,0,0,0
41297.08333,0,0,0
41297.125,0,0,0
41297.16667,0,0,0
41297.20833,0,0,0
41297.25,0,0,0
41297.29167,0,0,0
41297.33333,0,0,0
41297.375,0,0,0
41297.41667,0,0,0
41297.45833,0,0,0
41297.5,0,0,0
41297.54167,0,0,0
41297.58333,0,0,0
41297.625,0,0,0
41297.66667,0,0,0
41297.70833,0,0,0
41297.75,0,0,0
41297.79167,0,0,0
41297.83333,0,0,0
41297.875,1.39285E-10,9.55154E-09,1.36445E-08
41297.91667,1.39285E-10,9.55154E-09,1.36445E-08
41297.95833,1.39285E-10,9.55154E-09,1.36445E-08
41298,1.39285E-10,9.55154E-09,1.36445E-08
41298.04167,1.39285E-10,9.55154E-09,1.36445E-08
41298.08333,5.53061E-07,4.4723E-05,6.38795E-05
41298.125,6.29355E-07,5.10235E-05,7.28781E-05
41298.16667,1.58296E-06,0.000130711,0.000186683
41298.20833,2.3649E-06,0.000196845,0.000281122
41298.25,4.38676E-06,0.000369651,0.000527863
41298.29167,9.91793E-06,0.000849408,0.001212733
41298.33333,3.628E-05,0.003188353,0.004549827
41298.375,3.67759E-05,0.003232807,0.004613229
41298.41667,1.7281E-05,0.001496444,0.002136154
41298.45833,6.17953E-06,0.000524281,0.000750159
41298.5,5.77892E-06,0.000489639,0.000755674
41298.54167,5.85528E-06,0.000496238,0.00079076
41298.58333,6.80902E-06,0.000578804,0.00092405
41298.625,7.83906E-06,0.000668232,0.001103346
41298.66667,1.51822E-05,0.00131132,0.002020135
41298.70833,1.81965E-05,0.001577344,0.002251593
41298.75,1.77396E-05,0.001536958,0.002193965
41298.79167,1.94176E-05,0.001685365,0.00240573
41298.83333,1.72247E-05,0.001491477,0.002129066
41298.875,1.39637E-05,0.001204072,0.001718924
41298.91667,1.21705E-05,0.001046577,0.00149415
41298.95833,1.29903E-05,0.001118525,0.001596834
41299,1.34668E-05,0.001160384,0.001656574
41299.04167,9.34649E-06,0.000799524,0.00114153
41299.08333,7.68668E-06,0.000654987,0.000935212
41299.125,6.73287E-06,0.000572202,0.000817034
41299.16667,7.91536E-06,0.000674866,0.000963589
41299.20833,9.42223E-06,0.000806132,0.001150962
41299.25,7.91543E-06,0.000674872,0.000963598
41299.29167,1.33136E-05,0.001146921,0.00163736
41299.33333,1.07574E-05,0.000922797,0.001317484
41299.375,5.53159E-06,0.000468275,0.000668668
41299.41667,1.41158E-06,0.000116294,0.000166094
41299.45833,9.53814E-07,7.79704E-05,0.000111363
41299.5,1.39285E-10,9.55154E-09,1.36445E-08
41299.54167,0,0,0
41299.58333,7.63634E-08,5.93661E-06,8.48014E-06
41299.625,1.39285E-10,9.55154E-09,1.36445E-08
